iter	RMSE
0	0.3500025896
1	0.3432269928
2	0.336337904
3	0.3296686066
4	0.3234455302
5	0.3173559482
6	0.3115883979
7	0.3059582193
8	0.3001442263
9	0.294977019
10	0.2895899572
11	0.2843290798
12	0.2794611333
13	0.2746982068
14	0.2702560629
15	0.2657071535
16	0.2613383793
17	0.2570128651
18	0.2529735982
19	0.2490432309
20	0.2451523249
21	0.2415256874
22	0.2378059273
23	0.2344279973
24	0.2310160382
25	0.2278026052
26	0.2247953369
27	0.2216210438
28	0.2185407103
29	0.2158095904
30	0.2131435237
31	0.2103378307
32	0.2077416651
33	0.2053188062
34	0.2028882331
35	0.2005449359
36	0.1983675919
37	0.1960766367
38	0.1938331572
39	0.1919450671
40	0.1898129487
41	0.1877678487
42	0.1859402632
43	0.1841430055
44	0.1822307415
45	0.1805725497
46	0.1788134817
47	0.177308989
48	0.175792612
49	0.174328868
50	0.1727805702
51	0.1712998192
52	0.1699571978
53	0.1687176104
54	0.1675722822
55	0.1663878874
56	0.1650715807
57	0.1639748077
58	0.1627541691
59	0.1615892249
60	0.1605099704
61	0.1594494469
62	0.1584082468
63	0.1574647643
64	0.1564854451
65	0.155611327
66	0.1547008744
67	0.1538746328
68	0.1529701011
69	0.1521488521
70	0.1514351036
71	0.1506614965
72	0.1498482958
73	0.1490678373
74	0.1483432076
75	0.1476943638
76	0.1469766261
77	0.1463348425
78	0.1457070761
79	0.1450550972
80	0.1444502285
81	0.1439038311
82	0.1433218075
83	0.1427666245
84	0.1422538063
85	0.1416776081
86	0.1411347887
87	0.1406545281
88	0.1402146228
89	0.1396952772
90	0.1392271293
91	0.1386995843
92	0.1382054787
93	0.1378019154
94	0.1374091381
95	0.1369840361
96	0.1365576082
97	0.13610926
98	0.1357276603
99	0.1353420831
100	0.1349645616
101	0.1346186831
102	0.1342258326
103	0.1338687084
104	0.1335373594
105	0.1331936231
106	0.1328520936
107	0.1325208267
108	0.1322130489
109	0.1319306268
110	0.1315865167
111	0.1312678161
112	0.1309905614
113	0.1306874592
114	0.1303738802
115	0.1300869631
116	0.1298109279
117	0.129543464
118	0.1292984351
119	0.1290098575
120	0.1287416334
121	0.1284749196
122	0.1282301695
123	0.1280359928
124	0.1277770689
125	0.1275594761
126	0.1273059343
127	0.1271016976
128	0.1268784789
129	0.1266382472
130	0.1264253083
131	0.1262355104
132	0.1260218575
133	0.1258192382
134	0.1256235079
135	0.1254268781
136	0.1252316431
137	0.1250531221
138	0.1248113809
139	0.1246188031
140	0.1244251123
141	0.1242641146
142	0.1241098053
143	0.1239141427
144	0.1237367355
145	0.1235686347
146	0.1234194514
147	0.1232458973
148	0.1230809356
149	0.1229553781
150	0.1227815964
151	0.1226413174
152	0.1224404506
153	0.1223018665
154	0.1221452442
155	0.1220179034
156	0.121888843
157	0.1217543194
158	0.1216344531
159	0.1214990546
160	0.1213455561
161	0.1212091053
162	0.1210641341
163	0.1208959641
164	0.1207857105
165	0.1206506044
166	0.1205404859
167	0.1204155597
168	0.1202863148
169	0.1201625009
170	0.1200144705
171	0.1198813142
172	0.1197822889
173	0.1196669631
174	0.1195467335
175	0.1194274327
176	0.1193352552
177	0.1192197346
178	0.1191135883
179	0.1190092119
180	0.1189151357
181	0.1188177541
182	0.11874091
183	0.1186579237
184	0.1185458265
185	0.1184529023
186	0.1183693486
187	0.1182535149
188	0.1181746328
189	0.1180871608
190	0.1179822475
191	0.1179054434
192	0.1177966762
193	0.1177098327
194	0.1176259402
195	0.1175196382
196	0.1174510205
197	0.1173518685
198	0.1172764089
199	0.1171881151
200	0.1171107371
201	0.1170285638
202	0.1169413243
203	0.1168648088
204	0.1167675542
205	0.1166732252
206	0.1166122206
207	0.116532734
208	0.1164514809
209	0.1163539288
210	0.1162920667
211	0.1162129004
212	0.1161246374
213	0.116041725
214	0.115975091
215	0.1159216927
216	0.1158338633
217	0.11574588
218	0.1156851099
219	0.1156201411
220	0.1155552898
221	0.1154798579
222	0.1154231119
223	0.1153634526
224	0.1152845616
225	0.1152191756
226	0.1151616146
227	0.1150846846
228	0.1150153169
229	0.1149360676
230	0.1148631837
231	0.1148146437
232	0.1147548346
233	0.1146940093
234	0.1146379462
235	0.1145857855
236	0.114512638
237	0.1144622857
238	0.1143959984
239	0.1143432302
240	0.1142838891
241	0.1142206978
242	0.1141370926
243	0.1140784139
244	0.1140200923
245	0.1139505913
246	0.1138978268
247	0.1138223048
248	0.1137546103
249	0.1137079001
250	0.1136489316
251	0.1135753563
252	0.1135275053
253	0.1134771408
254	0.1134120013
255	0.113366615
256	0.1133185353
257	0.1132491639
258	0.1132142086
259	0.1131617684
260	0.1131148792
261	0.1130677011
262	0.1130022055
263	0.1129617217
264	0.1129051603
265	0.1128372183
266	0.1127936262
267	0.1127372428
268	0.1126869271
269	0.1126500023
270	0.1126098565
271	0.1125608625
272	0.1125200989
273	0.1124794481
274	0.1124378525
275	0.112390347
276	0.1123541986
277	0.112308811
278	0.1122526084
279	0.1122018153
280	0.1121293563
281	0.1120886547
282	0.1120447942
283	0.1120094016
284	0.1119500583
285	0.1119012354
286	0.1118541981
287	0.1118046262
288	0.1117642226
289	0.1117202118
290	0.1116902106
291	0.1116591548
292	0.1116016938
293	0.1115624546
294	0.1115198928
295	0.1114822676
296	0.1114389225
297	0.1113864861
298	0.1113475023
299	0.1112888509
300	0.1112435938
301	0.1111791692
302	0.1111417951
303	0.1110990411
304	0.1110483823
305	0.1110201383
306	0.1109798316
307	0.1109403515
308	0.1109021375
309	0.1108495683
310	0.1108075358
311	0.1107628317
312	0.1107060581
313	0.1106452411
314	0.1105978129
315	0.1105629901
316	0.1105264252
317	0.1104722059
318	0.1104372549
319	0.1104010945
320	0.110368573
321	0.110330709
322	0.1102871322
323	0.11025075
324	0.11021769
325	0.1101838451
326	0.1101329254
327	0.1100784211
328	0.1100324644
329	0.1099917414
330	0.10994969
331	0.1099264372
332	0.1098866066
333	0.1098274097
334	0.1097873332
335	0.109750119
336	0.1097049391
337	0.1096675983
338	0.1096401261
339	0.1095908918
340	0.1095493551
341	0.1094974317
342	0.1094687041
343	0.1094263109
344	0.1093828569
345	0.109347465
346	0.1093134838
347	0.1092801199
348	0.1092392934
349	0.1092134868
350	0.1091746634
351	0.1091279481
352	0.1090969885
353	0.1090679368
354	0.1090287792
355	0.1089854962
356	0.1089562808
357	0.1089119125
358	0.1088825934
359	0.1088521931
360	0.1088181651
361	0.1087859989
362	0.1087467103
363	0.1087008765
364	0.1086679317
365	0.1086411434
366	0.1086020415
367	0.1085710626
368	0.108540327
369	0.1085055105
370	0.1084677363
371	0.1084401729
372	0.1083974238
373	0.1083648415
374	0.1083286781
375	0.1082950085
376	0.1082568798
377	0.1082134059
378	0.108182718
379	0.1081409011
380	0.1081160383
381	0.108077061
382	0.1080463453
383	0.1079953995
384	0.1079602166
385	0.1079323401
386	0.1078941471
387	0.1078599407
388	0.1078286748
389	0.1077884427
390	0.1077444843
391	0.1077146602
392	0.107669298
393	0.1076330027
394	0.1075975126
395	0.1075544266
396	0.1075280948
397	0.1074930445
398	0.1074514325
399	0.1074145613
400	0.1073886462
401	0.1073613811
402	0.1073255391
403	0.1072811343
404	0.1072554757
405	0.1072256613
406	0.1071833662
407	0.1071507174
408	0.1071200897
409	0.1070913417
410	0.1070637028
411	0.1070419824
412	0.1070032835
413	0.1069715497
414	0.1069410124
415	0.10690638
416	0.1068709604
417	0.1068432025
418	0.1068121176
419	0.1067820122
420	0.106762921
421	0.1067338599
422	0.1066996025
423	0.1066728286
424	0.1066414574
425	0.1066119972
426	0.1065758653
427	0.1065568532
428	0.1065265
429	0.1064909644
430	0.1064640446
431	0.1064256233
432	0.106398484
433	0.1063551274
434	0.1063286198
435	0.1062993949
436	0.1062751899
437	0.1062463006
438	0.1062208331
439	0.10619529
440	0.1061637733
441	0.1061295909
442	0.1060942087
443	0.1060749982
444	0.1060446751
445	0.1060140533
446	0.1059870045
447	0.105962132
448	0.1059265914
449	0.1058802942
450	0.1058524903
451	0.1058326804
452	0.1058054336
453	0.1057807297
454	0.1057538014
455	0.1057165673
456	0.1056849535
457	0.1056466196
458	0.1056128166
459	0.1055787802
460	0.105547081
461	0.1055252462
462	0.1054920624
463	0.1054663647
464	0.1054419474
465	0.1054158967
466	0.105393764
467	0.1053624744
468	0.1053382712
469	0.1053006815
470	0.1052686561
471	0.1052287697
472	0.105203123
473	0.1051862207
474	0.1051530817
475	0.1051090606
476	0.1050803902
477	0.10505426
478	0.1050320982
479	0.105004376
480	0.1049736269
481	0.1049434917
482	0.1049126295
483	0.1048741908
484	0.1048359601
485	0.104809465
486	0.1047787039
487	0.1047601871
488	0.1047307309
489	0.1047074299
490	0.1046703823
491	0.1046481834
492	0.1046277005
493	0.1046109696
494	0.1045896266
495	0.1045624557
496	0.104535714
497	0.1045137538
498	0.1044875686
499	0.1044695315
500	0.1044522326
501	0.1044339903
502	0.1044126452
503	0.1043819978
504	0.1043457546
505	0.104319219
506	0.1042855432
507	0.1042581702
508	0.1042324434
509	0.1041949949
510	0.1041737194
511	0.1041503826
512	0.104108528
513	0.1040836055
514	0.1040674161
515	0.1040488595
516	0.1040273736
517	0.1040092901
518	0.1039919675
519	0.1039669321
520	0.1039437072
521	0.1039156534
522	0.103892888
523	0.1038615945
524	0.1038311724
525	0.1037977777
