iter	Passed	Remaining
0	3	4289
1	7	4547
2	10	4193
3	13	4005
4	15	3764
5	18	3777
6	22	3864
7	26	3992
8	30	4030
9	33	3931
10	36	3909
11	39	3896
12	42	3891
13	46	3942
14	49	3903
15	52	3857
16	56	3903
17	59	3913
18	62	3869
19	66	3901
20	69	3918
21	72	3893
22	75	3873
23	78	3862
24	81	3828
25	85	3858
26	88	3829
27	90	3792
28	94	3814
29	97	3795
30	100	3775
31	104	3814
32	108	3823
33	111	3826
34	114	3811
35	118	3839
36	122	3838
37	125	3832
38	127	3802
39	130	3797
40	134	3815
41	138	3818
42	142	3837
43	145	3818
44	148	3818
45	152	3814
46	154	3797
47	157	3777
48	160	3771
49	164	3773
50	166	3758
51	170	3765
52	173	3752
53	176	3746
54	181	3770
55	183	3753
56	186	3734
57	190	3741
58	192	3725
59	196	3726
60	199	3733
61	202	3722
62	205	3708
63	209	3711
64	212	3710
65	215	3697
66	218	3701
67	222	3700
68	226	3709
69	230	3714
70	234	3722
71	237	3722
72	240	3707
73	244	3714
74	247	3706
75	250	3700
76	253	3693
77	256	3695
78	260	3696
79	263	3690
80	267	3689
81	269	3675
82	272	3662
83	276	3667
84	278	3657
85	281	3648
86	284	3645
87	287	3633
88	290	3630
89	294	3629
90	296	3617
91	299	3604
92	302	3599
93	305	3594
94	308	3593
95	312	3595
96	315	3589
97	318	3578
98	321	3580
99	325	3584
100	329	3588
101	333	3589
102	335	3577
103	340	3588
104	345	3607
105	350	3616
106	355	3627
107	360	3643
108	364	3645
109	368	3650
110	372	3656
111	376	3659
112	380	3662
113	384	3665
114	389	3678
115	393	3679
116	397	3681
117	402	3690
118	407	3697
119	411	3699
120	414	3694
121	418	3696
122	421	3691
123	425	3689
124	428	3686
125	432	3686
126	436	3690
127	440	3691
128	444	3691
129	448	3687
130	451	3681
131	454	3678
132	458	3676
133	460	3667
134	464	3666
135	467	3659
136	470	3649
137	474	3652
138	477	3645
139	480	3637
140	484	3639
141	487	3631
142	490	3622
143	493	3618
144	496	3613
145	499	3607
146	502	3603
147	506	3596
148	508	3587
149	512	3588
150	515	3582
151	518	3575
152	522	3577
153	525	3569
154	528	3564
155	531	3559
156	535	3558
157	539	3557
158	542	3554
159	546	3552
160	551	3561
161	554	3554
162	557	3544
163	561	3547
164	564	3540
165	567	3536
166	570	3531
167	573	3523
168	577	3521
169	580	3516
170	583	3509
171	585	3500
172	588	3496
173	592	3491
174	595	3485
175	598	3483
176	601	3476
177	604	3468
178	607	3467
179	610	3459
180	613	3456
181	618	3457
182	621	3454
183	626	3457
184	629	3451
185	632	3446
186	635	3444
187	639	3442
188	643	3442
189	647	3442
190	650	3435
191	653	3432
192	657	3431
193	660	3423
194	663	3420
195	666	3415
196	669	3408
197	674	3411
198	676	3404
199	679	3398
200	683	3395
201	688	3400
202	694	3408
203	697	3405
204	701	3404
205	705	3405
206	709	3401
207	713	3403
208	717	3400
209	721	3403
210	725	3402
211	731	3408
212	736	3413
213	741	3414
214	745	3414
215	748	3409
216	753	3411
217	756	3408
218	761	3410
219	764	3406
220	769	3407
221	771	3400
222	775	3398
223	779	3397
224	783	3393
225	785	3385
226	789	3384
227	792	3377
228	794	3370
229	798	3366
230	801	3360
231	803	3353
232	807	3352
233	810	3345
234	812	3337
235	816	3336
236	819	3330
237	822	3323
238	825	3318
239	828	3314
240	832	3310
241	836	3309
242	839	3307
243	843	3304
244	847	3304
245	851	3302
246	856	3304
247	859	3298
248	862	3294
249	866	3291
250	869	3287
251	872	3283
252	876	3282
253	880	3280
254	885	3280
255	888	3275
256	890	3268
257	895	3269
258	897	3262
259	900	3257
260	904	3253
261	907	3248
262	911	3247
263	914	3243
264	917	3236
265	920	3231
266	923	3228
267	927	3225
268	930	3221
269	933	3216
270	936	3210
271	940	3207
272	943	3205
273	947	3201
274	950	3198
275	954	3194
276	957	3189
277	960	3185
278	963	3178
279	965	3172
280	969	3170
281	973	3168
282	976	3165
283	980	3162
284	983	3156
285	985	3150
286	989	3148
287	992	3142
288	995	3137
289	998	3134
290	1001	3128
291	1003	3121
292	1007	3119
293	1011	3116
294	1014	3111
295	1017	3107
296	1020	3101
297	1023	3097
298	1026	3093
299	1029	3089
300	1032	3083
301	1036	3081
302	1039	3076
303	1041	3070
304	1045	3068
305	1048	3063
306	1051	3057
307	1055	3056
308	1058	3052
309	1061	3048
310	1064	3043
311	1067	3037
312	1070	3034
313	1075	3035
314	1079	3034
315	1084	3032
316	1087	3028
317	1090	3023
318	1093	3021
319	1096	3015
320	1098	3009
321	1102	3007
322	1105	3001
323	1108	2996
324	1111	2993
325	1114	2988
326	1118	2985
327	1121	2981
328	1124	2977
329	1127	2972
330	1131	2970
331	1134	2967
332	1137	2961
333	1140	2957
334	1143	2953
335	1146	2947
336	1150	2945
337	1154	2943
338	1157	2939
339	1160	2935
340	1162	2929
341	1166	2925
342	1169	2922
343	1172	2917
344	1174	2911
345	1178	2908
346	1182	2905
347	1185	2901
348	1189	2899
349	1191	2893
350	1194	2888
351	1198	2887
352	1201	2881
353	1204	2877
354	1207	2874
355	1210	2869
356	1213	2865
357	1216	2861
358	1219	2857
359	1222	2852
360	1225	2849
361	1229	2845
362	1231	2839
363	1235	2837
364	1238	2832
365	1241	2827
366	1244	2825
367	1248	2822
368	1252	2820
369	1255	2816
370	1258	2811
371	1261	2807
