iter	Passed	Remaining
0	197	197451	89	44432
2	102	296	985353	270	67261
44	412	825	25	405	67115
66	491	697	37	494	61298
88	600	669	499	661	65515
10	678	6011	111	731	60219
12	748	56865
13	768	54109
14	804	5215	615	823	50656
16	880	50937
17	934	50985
18	959	49564
19	1007	49362
20	1031	48087
21	1054	46874
22	1072	423	1023	1092	424	1024	125	1025	1125	1148	426	1126	1194	427	1127	1210	428	1228	1246	429	1229	1266	430	1230	1302	431	1331	1346	432	1332	1365	433	1333	1394	334	1404	38724
35	1435	1463	336	1436	1481	337	1437	1521	338	1538	1539	339	1539	1570	340	1540	1595	341	1541	1633	342	1642	143	1543	1643	1689	344	1644	145	1545	1745	1751	346	1746	1777	347	1747	1822	348	1832	35567
49	1849	1881	350	1915	35643
51	1931	35210
52	1983	35449
53	2053	2037	354	2091	35932
55	2140	36085
56	2157	35695
57	2211	35913
58	2229	35554
59	2272	35606
60	2289	35239
61	2341	35430
62	2358	35083
63	2399	35091
64	2415	34748
65	2454	34735
66	2475	34469
67	2538	34793
68	2558	34514
69	2608	34656
70	2625	34351
71	2669	34413
72	2686	34114
73	2731	34183
74	2752	33952
75	2803	34081
76	2823	33839
77	2871	33947
78	2889	33688
79	2937	33781
80	2973	33733
81	2990	382	2882	3014	383	2883	3030	384	2984	3094	33314
85	3112	386	2986	3181	33384
87	3199	388	3066	31389
89	3092	31271
90	3137	31342
91	3153	31127
92	3194	31151
93	3220	31041
94	3245	30916
95	3264	30740
96	3294	30673
97	3312	30484
98	3349	30483
99	3378	30407
100	3100	3569	3101	3469	30549
102	3491	30408
103	3527	30390
104	3544	30214
105	3575	30151
106	3607	30107
107	3639	30057
108	3676	30051
109	3694	29892
110	3723	29821
111	3111	3913	3112	3789	29748
113	3813	29641
114	3868	29772
115	3888	29635
116	3918	29575
117	3963	29624
118	3979	29465
119	4006	29380
120	4024	29234
121	4061	29231
122	4083	29117
123	4116	29083
124	4133	28937
125	4181	29005
126	4217	28990
127	4236	28858
128	4254	28726
129	4272	28592
130	4324	28689
131	4343	28559
132	4389	28617
133	4415	28536
134	4450	28516
135	4470	28398
136	4507	28394
137	4531	28308
138	4549	28183
139	4599	28252
140	4614	28110
141	4651	28107
142	4680	28050
143	4710	28001
144	4749	28003
145	4765	27872
146	4792	27810
147	4816	27725
148	4868	27806
149	4885	27683
150	4916	27641
151	4940	27562
152	4974	27536
153	4997	27453
154	5021	27375
155	5037	27253
156	5065	27199
157	5081	27080
158	5135	27163
159	5151	27045
160	5183	27014
161	5202	26909
162	5239	26907
163	5256	26792
164	5291	26780
165	5307	26667
166	5354	26708
167	5369	26591
168	5410	26602
169	5444	26582
170	5484	26587
171	5500	26480
172	5540	26484
173	5559	26389
174	5593	26370
175	5613	26281
176	5659	26315
177	5679	26229
178	5701	26150
179	5722	26068
180	5782	26163
181	5802	26079
182	5837	26063
183	5857	25978
184	5901	26000
185	5919	25904
186	5950	25871
187	5967	25775
188	6008	25781
189	6029	25704
190	6068	25701
191	6084	25604
192	6134	25650
193	6151	25557
194	6184	25532
195	6204	25451
196	6248	25470
197	6265	25379
198	6294	25334
199	6312	25250
200	6362	25291
201	6378	25200
202	6424	25221
203	6440	25128
204	6459	25050
205	6533	25183
206	6554	25108
207	6601	25136
208	6618	25048
209	6662	25064
210	6679	24977
211	6721	24983
212	6741	24908
213	6784	24918
214	6806	24850
215	6861	24904
216	6877	24815
217	6922	24831
218	6942	24757
219	6975	24730
220	6993	24650
221	7043	24682
222	7060	24600
223	7102	24603
224	7118	24520
225	7150	24489
226	7178	24445
227	7208	24407
228	7241	24380
229	7258	24298
230	7299	24301
231	7323	24242
232	7340	24164
233	7391	24194
234	7409	24120
235	7452	24126
236	7468	24043
237	7494	23995
238	7511	23915
239	7551	23911
240	7568	23836
241	7607	23827
242	7627	23759
243	7654	23717
244	7671	23640
245	7245	7871	2246	7246	7893	2247	7247	7910	2248	7248	7960	2249	7249	7979	2250	7250	8011	2251	7251	8028	2252	7252	8067	2253	7253	8083	2254	7254	8124	2255	7255	8142	2256	8256	8181	2257	8257	8198	2258	8258	8250	2259	8142	23176
260	8187	23182
261	8261	8420	2262	8262	8489	23789
263	8564	23875
264	8605	23867
265	8654	23880
266	8700	23884
267	8730	23846
268	8774	23845
269	8816	23836
270	8853	23816
271	8894	23806
272	8911	23732
273	8977	23785
274	9015	23768
275	9033	23696
276	9093	23733
277	9128	23708
278	9178	23718
279	9211	23686
280	9242	23649
281	9299	23678
282	9343	23673
283	9388	23669
284	9450	23709
285	9517	23760
286	9539	23699
287	9612	23763
288	9677	23808
289	9741	23848
290	9783	23836
291	9804	23772
292	9838	23739
293	9892	23756
294	9919	23706
295	9930	23618
296	9945	23540
297	9972	23492
298	9991	23424
299	10010	23357
300	10025	23280
301	10038	23202
302	10057	23134
303	10070	23055
304	10086	22984
305	10099	22906
306	10112	22826
307	10126	22752
308	10138	22673
309	10153	22599
310	10166	22523
311	10180	22448
312	10193	22374
313	10207	22299
314	10220	22224
315	10233	22150
316	10247	22079
317	10263	22011
318	10278	21942
319	10294	21875
320	10307	21803
321	10321	21733
322	10335	21662
323	10348	21591
324	10361	21520
325	10375	21452
326	10390	21385
327	10405	21319
328	10418	21247
329	10433	21182
330	10445	21112
331	10460	21047
332	10474	20979
333	10487	20912
334	10503	20850
335	10520	20789
336	10534	20724
337	10548	20660
338	10564	20599
339	10578	20535
340	10594	20474
341	10608	20411
342	10623	20349
343	10638	20286
344	10651	20221
345	10665	20160
346	10682	20102
347	10695	20038
348	10709	19976
349	10724	19916
350	10739	19856
351	10756	19800
352	10769	19739
353	10785	19681
354	10797	19618
355	10810	19555
356	10825	19497
357	10838	19436
358	10850	19373
359	10865	19316
360	10878	19255
361	10890	19194
362	10904	19136
363	10921	19083
364	10934	19023
365	10948	18965
366	10961	18906
367	10976	18850
368	10989	18793
369	11003	18735
370	11018	18681
371	11033	18626
372	11046	18569
373	11063	18517
374	11076	18460
375	11090	18405
376	11103	18349
377	11118	18295
378	11133	18242
379	11148	18189
380	11162	18135
381	11176	18081
382	11191	18029
383	11206	17976
384	11222	17926
385	11237	17874
386	11249	17818
387	11261	17763
388	11276	17711
389	11289	17658
390	11302	17604
391	11317	17553
392	11334	17505
393	11347	17453
394	11361	17402
395	11378	17354
396	11390	17301
397	11404	17250
398	11418	17200
399	11433	17149
400	11446	17098
401	11460	17048
402	11475	16999
403	11488	16948
404	11500	16896
405	11513	16845
406	11528	16796
407	11541	16747
408	11556	16699
409	11569	16648
410	11583	16600
411	11598	16553
412	11614	16507
413	11627	16458
414	11640	16409
415	11656	16364
416	11672	16318
417	11689	16275
418	11703	16229
419	11719	16183
420	11733	16136
421	11745	16087
422	11759	16040
423	11774	15995
424	11789	15950
425	11803	15903
426	11821	15862
427	11832	15813
428	11848	15770
429	11862	15724
430	11877	15680
431	11892	15636
432	11906	15591
433	11920	15546
434	11936	15504
435	11949	15457
436	11962	15412
437	11979	15370
438	11992	15325
439	12006	15281
440	12019	15235
441	12034	15192
442	12047	15147
443	12060	15102
444	12073	15058
445	12089	15016
446	12103	14973
447	12118	14931
448	12135	14892
449	12148	14848
450	12165	14808
451	12179	14766
452	12195	14725
453	12209	14683
454	12224	14642
455	12236	14598
456	12251	14557
457	12266	14516
458	12279	14472
459	12292	14430
460	12306	14389
461	12321	14348
462	12335	14307
463	12349	14265
464	12363	14225
465	12380	14186
466	12396	14148
467	12412	14109
468	12426	14069
469	12452	14041
470	12466	14001
471	12488	13969
472	12502	13929
473	12521	13895
474	12534	13853
475	12547	13812
476	12561	13772
477	12574	13732
478	12588	13692
479	12602	13653
480	12618	13614
481	12632	13575
482	12646	13537
483	12659	13496
484	12674	13458
485	12690	13421
486	12705	13384
487	12719	13344
488	12734	13307
489	12747	13268
490	12764	13232
491	12777	13193
492	12791	13155
493	12809	13121
494	12823	13082
495	12837	13044
496	12852	13007
497	12865	12968
498	12880	12931
499	12894	12894
500	12908	12857
501	12922	12819
502	12935	12781
503	12949	12743
504	12963	12706
505	12978	12670
506	12991	12632
507	13005	12595
508	13019	12559
509	13035	12524
510	13048	12486
511	13063	12450
512	13078	12415
513	13093	12380
514	13107	12343
515	13120	12307
516	13134	12270
517	13152	12238
518	13167	12203
519	13180	12166
520	13194	12130
521	13208	12095
522	13224	12060
523	13238	12026
524	13252	11990
525	13266	11955
526	13282	11921
527	13295	11885
528	13309	11849
529	13322	11814
530	13335	11778
531	13349	11743
532	13364	11709
533	13377	11673
534	13392	11639
535	13407	11606
536	13421	11572
537	13438	11539
538	13452	11505
539	13467	11472
540	13481	11437
541	13496	11405
542	13511	11371
543	13525	11337
544	13540	11304
545	13554	11270
546	13567	11236
547	13581	11202
548	13597	11169
549	13609	11134
550	13625	11102
551	13637	11068
552	13652	11035
553	13669	11004
554	13683	10971
555	13696	10937
556	13714	10907
557	13727	10873
558	13742	10841
559	13755	10807
560	13768	10774
561	13781	10740
562	13794	10706
563	13807	10673
564	13821	10641
565	13834	10608
566	13850	10576
567	13863	10544
568	13877	10512
569	13892	10480
570	13906	10448
571	13920	10415
572	13933	10383
573	13949	10353
574	13965	10322
575	13978	10289
576	13994	10259
577	14008	10227
578	14022	10196
579	14036	10164
580	14049	10132
581	14066	10102
582	14079	10070
583	14094	10039
584	14108	10008
585	14121	9976
586	14137	9946
587	14150	9915
588	14164	9883
589	14179	9853
590	14196	9824
591	14209	9793
592	14224	9763
593	14240	9733
594	14255	9703
595	14270	9673
596	14284	9642
597	14297	9611
598	14312	9581
599	14327	9551
600	14343	9522
601	14357	9492
602	14372	9462
603	14385	9431
604	14402	9403
605	14416	9373
606	14433	9344
607	14447	9314
608	14464	9286
609	14478	9256
610	14493	9227
611	14509	9198
612	14523	9169
613	14539	9140
614	14551	9109
615	14566	9080
616	14581	9051
617	14594	9020
618	14608	8991
619	14622	8962
620	14637	8933
621	14653	8905
622	14668	8876
623	14681	8846
624	14695	8817
625	14708	8787
626	14721	8757
627	14738	8730
628	14750	8700
629	14764	8671
630	14779	8642
631	14792	8613
632	14807	8584
633	14822	8557
634	14837	8528
635	14859	8504
636	14872	8475
637	14887	8447
638	14902	8418
639	14917	8391
640	14931	8362
641	14944	8333
642	14958	8305
643	14976	8278
644	14992	8251
645	15006	8223
646	15020	8195
647	15035	8167
648	15051	8140
649	15065	8112
650	15080	8084
651	15094	8056
652	15109	8028
653	15123	8001
654	15136	7972
655	15150	7944
656	15166	7917
657	15181	7890
658	15194	7862
659	15209	7835
660	15223	7807
661	15235	7778
662	15252	7752
663	15266	7725
664	15282	7698
665	15295	7670
