iter	Passed	Remaining
0	3	5576
1	7	5426
2	10	5089
3	14	5535
4	18	5675
5	22	5629
6	26	5686
7	30	5668
8	35	5816
9	38	5792
10	42	5762
11	47	5906
12	51	5891
13	56	5948
14	59	5899
15	65	6065
16	68	6010
17	72	5999
18	77	6024
19	82	6097
20	86	6088
21	89	6044
22	95	6103
23	98	6077
24	102	6076
25	106	6040
26	112	6132
27	117	6199
28	122	6204
29	127	6227
30	131	6235
31	136	6280
32	142	6345
33	146	6318
34	151	6331
35	155	6305
36	160	6327
37	163	6306
38	167	6274
39	172	6298
40	176	6295
41	182	6332
42	186	6307
43	192	6362
44	196	6362
45	201	6378
46	209	6486
47	214	6500
48	221	6553
49	227	6585
50	231	6590
51	237	6602
52	242	6607
53	247	6636
54	252	6638
55	259	6689
56	263	6673
57	268	6675
58	273	6670
59	278	6676
60	282	6669
61	288	6683
62	295	6729
63	299	6717
64	305	6744
65	310	6742
66	315	6739
67	319	6730
68	325	6746
69	329	6721
70	333	6719
71	338	6709
72	343	6711
73	347	6693
74	353	6721
75	357	6702
76	361	6689
77	366	6687
78	371	6680
79	374	6656
80	378	6634
81	387	6702
82	392	6707
83	398	6722
84	404	6738
85	410	6741
86	414	6734
87	418	6719
88	422	6699
89	426	6678
90	430	6667
91	434	6650
92	438	6639
93	442	6619
94	448	6625
95	451	6607
96	455	6587
97	459	6574
98	463	6566
99	468	6556
100	471	6537
101	475	6518
102	480	6512
103	486	6529
104	490	6518
105	496	6533
106	502	6538
107	506	6530
108	510	6519
109	515	6514
110	519	6500
111	523	6486
112	528	6489
113	533	6483
114	537	6471
115	541	6456
116	546	6462
117	550	6444
118	554	6434
119	559	6433
120	563	6423
121	567	6407
122	570	6388
123	576	6398
124	580	6381
125	583	6367
126	587	6351
127	592	6356
128	597	6347
129	601	6339
130	605	6330
131	609	6314
132	613	6307
133	617	6291
134	621	6286
135	625	6272
136	629	6260
137	633	6248
138	637	6242
139	642	6238
140	645	6221
141	649	6215
142	654	6209
143	658	6200
144	662	6187
145	665	6175
146	670	6173
147	674	6161
148	678	6152
149	682	6139
150	687	6142
151	693	6146
152	697	6136
153	701	6128
154	704	6113
155	708	6108
156	712	6095
157	717	6097
158	721	6088
159	726	6083
160	730	6071
161	734	6068
162	738	6059
163	742	6045
164	746	6038
165	750	6030
166	754	6024
167	758	6011
168	761	5998
169	767	6004
170	771	5994
171	775	5984
172	778	5971
173	784	5976
174	787	5965
175	791	5953
176	795	5944
177	800	5942
178	806	5955
179	810	5946
180	815	5943
181	820	5939
182	823	5928
183	827	5919
184	833	5923
185	836	5911
186	840	5903
187	845	5900
188	849	5895
189	853	5886
190	857	5875
191	863	5883
192	867	5872
193	871	5866
194	875	5856
195	880	5857
196	885	5854
197	889	5849
198	893	5842
199	898	5839
200	902	5829
201	905	5819
202	910	5819
203	914	5810
204	918	5805
205	922	5795
206	927	5791
207	931	5784
208	935	5777
209	939	5768
210	942	5759
211	949	5770
212	953	5759
213	958	5759
214	962	5750
215	966	5745
216	970	5735
217	975	5733
218	979	5728
219	982	5718
220	986	5710
221	991	5706
222	997	5712
223	1001	5703
224	1005	5699
225	1010	5694
226	1013	5686
227	1017	5676
228	1021	5669
229	1026	5665
230	1029	5655
231	1033	5649
232	1038	5647
233	1042	5641
234	1046	5632
235	1049	5621
236	1054	5621
237	1058	5613
238	1062	5606
239	1066	5597
240	1071	5597
241	1075	5588
242	1078	5581
243	1082	5572
244	1087	5569
245	1092	5567
246	1095	5559
247	1101	5561
248	1105	5553
249	1109	5548
250	1113	5540
251	1118	5537
252	1122	5530
253	1125	5521
254	1129	5516
255	1134	5510
256	1138	5506
257	1141	5497
258	1146	5491
259	1151	5492
260	1155	5485
261	1159	5478
262	1162	5469
263	1167	5468
264	1171	5460
265	1175	5454
266	1179	5448
267	1183	5440
268	1187	5434
269	1191	5429
270	1196	5426
271	1200	5419
272	1205	5416
273	1208	5408
274	1213	5406
275	1218	5403
276	1221	5395
277	1226	5389
278	1230	5385
279	1234	5380
280	1238	5371
281	1242	5365
282	1246	5361
283	1250	5354
284	1254	5346
285	1257	5337
286	1264	5342
287	1267	5335
288	1271	5329
289	1276	5325
290	1280	5320
291	1284	5312
292	1287	5304
293	1293	5304
294	1296	5297
295	1301	5294
296	1305	5287
297	1309	5283
298	1313	5276
299	1317	5268
300	1320	5261
301	1326	5262
302	1330	5256
303	1334	5248
304	1338	5243
305	1342	5237
306	1346	5231
307	1349	5224
308	1353	5216
309	1358	5215
310	1362	5210
311	1367	5205
312	1371	5199
313	1375	5197
314	1379	5189
315	1383	5184
316	1387	5179
317	1391	5173
318	1396	5170
319	1400	5162
320	1404	5158
321	1408	5152
322	1412	5146
323	1416	5142
324	1421	5139
325	1425	5133
326	1429	5126
327	1433	5120
328	1437	5115
329	1441	5109
330	1445	5105
331	1449	5098
332	1454	5098
333	1458	5092
334	1463	5088
335	1467	5083
336	1471	5079
337	1475	5073
338	1479	5065
339	1484	5064
340	1488	5058
341	1492	5054
342	1496	5047
343	1501	5045
344	1509	5053
345	1514	5052
346	1520	5053
347	1525	5049
348	1531	5051
349	1536	5049
350	1541	5046
351	1546	5042
352	1551	5040
353	1555	5036
354	1560	5033
355	1565	5031
356	1571	5029
357	1575	5026
358	1581	5027
359	1586	5024
360	1591	5021
361	1596	5018
362	1600	5014
363	1605	5009
364	1609	5005
365	1615	5004
366	1619	4998
367	1623	4993
368	1628	4991
369	1632	4986
370	1637	4984
371	1642	4980
372	1647	4978
373	1652	4974
374	1657	4971
375	1664	4974
376	1668	4971
377	1674	4969
378	1679	4967
379	1684	4965
380	1689	4961
381	1696	4964
382	1701	4960
383	1705	4957
384	1711	4956
385	1717	4955
386	1722	4953
387	1727	4951
388	1732	4947
389	1736	4942
390	1742	4943
391	1747	4938
392	1751	4934
393	1756	4931
394	1761	4929
395	1766	4925
396	1771	4922
397	1776	4919
398	1781	4916
399	1786	4912
400	1792	4912
401	1796	4907
402	1801	4904
403	1808	4905
404	1813	4903
405	1820	4904
406	1825	4901
407	1830	4899
408	1836	4899
409	1842	4899
410	1848	4898
411	1854	4897
412	1860	4895
413	1866	4895
414	1871	4892
415	1876	4889
416	1881	4886
417	1887	4886
418	1892	4881
419	1897	4878
420	1901	4873
421	1907	4872
422	1911	4867
423	1916	4864
424	1922	4861
425	1927	4858
426	1931	4854
427	1937	4853
428	1942	4848
429	1946	4844
430	1952	4842
431	1956	4837
432	1961	4833
433	1966	4830
434	1972	4828
435	1976	4824
436	1983	4824
437	1987	4819
438	1992	4815
439	1997	4811
440	2003	4810
441	2007	4804
442	2012	4802
443	2017	4798
444	2023	4796
445	2027	4790
446	2033	4789
447	2037	4783
448	2041	4778
449	2046	4775
450	2051	4771
451	2055	4765
452	2060	4763
453	2065	4757
454	2070	4754
455	2074	4749
456	2080	4749
457	2085	4743
458	2089	4739
459	2094	4735
460	2099	4732
461	2104	4728
462	2111	4728
463	2116	4725
464	2120	4720
465	2127	4719
466	2132	4716
467	2137	4713
468	2142	4709
469	2147	4706
470	2152	4702
471	2157	4699
472	2162	4695
